name,department,reason
"Amazon Brand - Symbol Men's Regular Fit Casual Shirt","fashion","Duplicate product title fingerprint"
"Dennis Lingo Men's Cotton Solid Slim Fit Casual Shirt with Pocket, Roll Up Full Sleeve Shirt for Formal & Casual Wear","fashion","Duplicate product title fingerprint"
"Dennis Lingo Men's Cotton Slim Fit Casual Shirt","fashion","Duplicate product title fingerprint"
"Amazon Brand - Symbol Men's Regular Fit T-Shirt","fashion","Duplicate product title fingerprint"
"Allen Solly Men's Regular Fit Polo","fashion","Duplicate product title fingerprint"
"Allen Solly Men's Regular Fit Polo","fashion","Duplicate product title fingerprint"
"LEOTUDE NEON Green Cotton Blend Half Sleeve Printed Oversized T-Shirts for Men","fashion","Duplicate ASIN"
"LEOTUDE Cotton Blend Half Sleeve Back Print Oversized T-Shirts for Men","fashion","Duplicate product title fingerprint"
"Amazon Brand - Symbol Men's Regular Polo Shirt","fashion","Duplicate product title fingerprint"
"Jump Cuts Mens Printed Round Neck Full Sleeve Black and Olive Cotton Slim Fit T-Shirt","fashion","Duplicate product title fingerprint"
"Levi's Men's Regular Fit T-Shirt","fashion","Duplicate product title fingerprint"
"Amazon Brand - Symbol Men's Regular Fit T-Shirt","fashion","Duplicate product title fingerprint"
"Jump Cuts Mens Printed Round Neck Full Sleeve Black and Green Cotton Blend Boxy Fit T-Shirt","fashion","Duplicate product title fingerprint"
"Jump Cuts Mens Printed Round Neck Full Sleeve Black and White Cotton Slim Fit T-Shirt","fashion","Duplicate product title fingerprint"
"Amazon Brand - Symbol Men's Regular Fit T-Shirt","fashion","Duplicate product title fingerprint"
"LEOTUDE Cotton Blend Half Sleeve Back Print Oversized T-Shirts for Men","fashion","Duplicate product title fingerprint"
"QUADA Compression Swimming t Shirt Full Sleevs for Men","fashion","Duplicate product title fingerprint"
"Reebok Men's Slim Fit T-Shirts","fashion","Duplicate product title fingerprint"
"fanideaz Men’s Cotton Half Sleeve Striped Polo T-Shirts","fashion","Duplicate product title fingerprint"
"LEOTUDE Cotton Blend Half Sleeve Printed Oversized T-Shirts for Men","fashion","Duplicate product title fingerprint"
